=== 模擬器啟動時間: 2026-05-30 15:56:38 ===
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] 🎯 iPhone GPS 模擬器 v17.0 - 模組化重構版 (完整版)
[2026-05-30 15:56:40] ============================================================
[2026-05-30 15:56:40] ✅ 修復：阻絕競態條件造成的橡皮筋拉回現象
[2026-05-30 15:56:40] 💡 請按 F12 打開瀏覽器控制台查看詳細日誌
[2026-05-30 15:56:40] ⚡ 開始自動連線流程 (等待 tunneld 就緒...)
[2026-05-30 15:56:41] 🧹 已清除占用 49151 端口的舊進程 (PID: 13396)
[2026-05-30 15:56:42] 🚀 啟動 tunneld...
[2026-05-30 15:56:42] 🌐 地圖已自動開啟
[2026-05-30 15:56:42] ✅ tunneld 已啟動
[2026-05-30 15:56:45] 🗖 地圖視窗已最大化
[2026-05-30 15:56:45] 📱 手勢循環已停止
[2026-05-30 15:56:49] 🧭 路線點: 117 個，途經點: 115 個
[2026-05-30 15:56:55] [tunneld] [32m2026-05-30 15:56:55[0m [35mHA1MIS-HNB0516[0m [34mpymobiledevice3.tunneld.server[20316][0m [1;30mINFO[0m [start-tunnel-task-usbmux-00008030-000E602401E8802E-USB] Created tunnel --rsd fd15:12bc:985e::1 62413
[2026-05-30 15:56:55] ✅ RSD: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ⚡ tunneld 已就緒，準備進行下一步...
[2026-05-30 15:56:55] ℹ WiFi 模式略過 DDI 掛載，直接偵測 RSD
[2026-05-30 15:56:55] ℹ RSD 已填入: fd15:12bc:985e::1:62413
[2026-05-30 15:56:55] ✅ 自動連線與偵測全部完成！
[2026-05-30 15:57:02] 🧭 路線點: 118 個，途經點: 116 個
[2026-05-30 15:57:08] 🚀 準備從路線點 61 開始模擬...
[2026-05-30 15:57:12] 📏 總距離: 30810m
[2026-05-30 15:57:12] 🚀 開始模擬
[2026-05-30 16:00:31] [65] 1.255730,103.822626 33% 20.0km/h (63/117)
[2026-05-30 16:00:35] [66] 1.255663,103.822760 33% 20.0km/h (63/117)
[2026-05-30 16:00:38] [67] 1.255595,103.822894 33% 20.0km/h (63/117)
[2026-05-30 16:00:41] [68] 1.255528,103.823028 33% 20.0km/h (63/117)
[2026-05-30 16:00:44] [69] 1.255461,103.823162 33% 20.0km/h (63/117)
[2026-05-30 16:00:47] [70] 1.255393,103.823295 33% 20.0km/h (63/117)
[2026-05-30 16:00:50] [71] 1.255326,103.823429 33% 20.0km/h (63/117)
[2026-05-30 16:00:53] [72] 1.255258,103.823563 33% 20.0km/h (63/117)
[2026-05-30 16:00:56] [73] 1.255191,103.823697 33% 20.0km/h (63/117)
[2026-05-30 16:00:59] [74] 1.255124,103.823831 33% 20.0km/h (63/117)
[2026-05-30 16:01:03] [75] 1.255056,103.823965 33% 20.0km/h (63/117)
[2026-05-30 16:01:06] [76] 1.254989,103.824099 33% 20.0km/h (63/117)
[2026-05-30 16:01:09] [77] 1.254921,103.824233 33% 20.0km/h (63/117)
[2026-05-30 16:01:12] [78] 1.254854,103.824367 33% 20.0km/h (63/117)
[2026-05-30 16:01:15] [79] 1.254787,103.824501 33% 20.0km/h (63/117)
[2026-05-30 16:01:18] [80] 1.254719,103.824635 34% 20.0km/h (63/117)
[2026-05-30 16:01:21] [81] 1.254652,103.824769 34% 20.0km/h (63/117)
[2026-05-30 16:01:24] [82] 1.254585,103.824902 34% 20.0km/h (63/117)
[2026-05-30 16:01:27] [83] 1.254517,103.825036 34% 20.0km/h (63/117)
[2026-05-30 16:01:30] [84] 1.254450,103.825170 34% 20.0km/h (63/117)
[2026-05-30 16:01:33] [85] 1.254382,103.825304 34% 20.0km/h (63/117)
[2026-05-30 16:01:36] [86] 1.254315,103.825438 34% 20.0km/h (63/117)
[2026-05-30 16:01:40] [87] 1.254248,103.825572 34% 20.0km/h (63/117)
[2026-05-30 16:01:43] [88] 1.254180,103.825706 34% 20.0km/h (63/117)
[2026-05-30 16:01:46] [89] 1.254165,103.825736 34% 20.0km/h (63/117)
[2026-05-30 16:01:49] [90] 1.254068,103.825850 34% 20.0km/h (64/117)
[2026-05-30 16:01:52] [91] 1.253971,103.825965 34% 20.0km/h (64/117)
[2026-05-30 16:01:55] [92] 1.253874,103.826079 34% 20.0km/h (64/117)
[2026-05-30 16:01:58] [93] 1.253778,103.826194 34% 20.0km/h (64/117)
[2026-05-30 16:02:01] [94] 1.253681,103.826308 34% 20.0km/h (64/117)
[2026-05-30 16:02:04] [95] 1.253584,103.826422 34% 20.0km/h (64/117)
[2026-05-30 16:02:07] [96] 1.253487,103.826537 34% 20.0km/h (64/117)
[2026-05-30 16:02:10] [97] 1.253390,103.826651 34% 20.0km/h (64/117)
[2026-05-30 16:02:13] [98] 1.253293,103.826765 34% 20.0km/h (64/117)
[2026-05-30 16:02:17] [99] 1.253196,103.826880 35% 20.0km/h (64/117)
[2026-05-30 16:02:20] [100] 1.253099,103.826994 35% 20.0km/h (64/117)
[2026-05-30 16:02:23] [101] 1.253002,103.827109 35% 20.0km/h (64/117)
[2026-05-30 16:02:26] [102] 1.252905,103.827223 35% 20.0km/h (64/117)
[2026-05-30 16:02:29] [103] 1.252808,103.827337 35% 20.0km/h (64/117)
[2026-05-30 16:02:32] [104] 1.252712,103.827452 35% 20.0km/h (64/117)
[2026-05-30 16:02:35] [105] 1.252615,103.827566 35% 20.0km/h (64/117)
[2026-05-30 16:02:38] [106] 1.252518,103.827680 35% 20.0km/h (64/117)
[2026-05-30 16:02:41] [107] 1.252421,103.827795 35% 20.0km/h (64/117)
[2026-05-30 16:02:44] [108] 1.252324,103.827909 35% 20.0km/h (64/117)
[2026-05-30 16:02:47] [109] 1.252227,103.828024 35% 20.0km/h (64/117)
[2026-05-30 16:02:50] [110] 1.252130,103.828138 35% 20.0km/h (64/117)
[2026-05-30 16:02:54] [111] 1.252033,103.828252 35% 20.0km/h (64/117)
[2026-05-30 16:02:57] [112] 1.252020,103.828268 35% 20.0km/h (64/117)
[2026-05-30 16:03:00] [113] 1.251962,103.828130 35% 20.0km/h (65/117)
[2026-05-30 16:03:03] [114] 1.251903,103.827992 35% 20.0km/h (65/117)
[2026-05-30 16:03:06] [115] 1.251845,103.827854 35% 20.0km/h (65/117)
